phase,failure,side,fail_time,weight,wind,outcome,t_end,peak_alt,min_alt,min_speed,min_margin,max_bank,max_aoa
takeoff,nominal,-,-,300000,calm,survived,120.0,600,20,85,23,0,7.6
takeoff,aileron-hardover,right,6,300000,calm,CRASH,18.6,143,0,85,23,109,14.4
takeoff,engines:2+3+4,left,10,300000,calm,survived,120.0,396,20,65,2,6,13.1
takeoff,engines:4,left,14,300000,calm,survived,120.0,600,20,85,23,4,7.6
takeoff,wing-loss,right,14,300000,calm,CRASH,21.8,189,0,82,20,180,111.7
takeoff,elevator-jam,-,18,300000,calm,survived,120.0,857,20,85,23,0,7.6
takeoff,engines:3+4,left,6,300000,tailwind,survived,120.0,601,20,73,11,11,9.5
takeoff,engines:1,left,10,300000,tailwind,survived,120.0,600,20,73,11,4,9.5
takeoff,windshear,-,10,300000,tailwind,survived,120.0,600,20,65,2,0,15.7
takeoff,engines:1+2+3+4,left,14,300000,tailwind,CRASH,44.6,310,0,56,-7,180,180.0
takeoff,engines:1+2,left,18,300000,tailwind,survived,120.0,600,20,73,11,8,9.5
takeoff,explosion,left,18,300000,tailwind,CRASH,26.3,219,0,72,10,65,180.0
takeoff,elevator-jam,-,6,300000,headwind,CRASH,67.1,260,0,91,28,0,6.3
takeoff,engines:1+4,left,10,300000,headwind,survived,120.0,600,20,83,19,0,6.3
takeoff,engines:2,left,14,300000,headwind,survived,120.0,600,20,91,28,2,6.3
takeoff,runaway-trim,-,14,300000,headwind,CRASH,48.4,358,0,91,28,0,6.3
takeoff,rudder-hardover,left,18,300000,headwind,survived,120.0,600,20,91,28,45,8.9
takeoff,engines:1+2,left,6,300000,crosswind,survived,120.0,600,20,82,18,9,7.5
takeoff,explosion,left,6,300000,crosswind,CRASH,11.1,75,0,72,9,65,180.0
takeoff,aileron-hardover,left,10,300000,crosswind,CRASH,23.6,197,0,86,24,108,14.4
takeoff,engines:1+2+3,left,14,300000,crosswind,survived,120.0,440,20,65,2,6,13.1
takeoff,engines:3,left,18,300000,crosswind,survived,120.0,600,20,86,24,4,7.5
takeoff,wing-loss,left,18,300000,crosswind,CRASH,26.9,242,-1,77,15,180,121.5
takeoff,rudder-hardover,left,6,380000,calm,CRASH,45.5,407,0,71,0,114,179.8
takeoff,engines:2+3,left,10,380000,calm,survived,120.0,601,20,78,7,0,10.3
takeoff,explosion,right,10,380000,calm,CRASH,16.5,114,0,75,4,90,180.0
takeoff,aileron-hardover,right,14,380000,calm,CRASH,28.1,228,-1,85,15,104,97.0
takeoff,engines:2+3+4,left,18,380000,calm,survived,120.0,382,20,71,0,5,14.5
takeoff,engines:3,left,6,380000,tailwind,survived,120.0,600,20,73,3,3,11.8
takeoff,wing-loss,left,6,380000,tailwind,CRASH,10.4,30,0,73,3,166,19.5
takeoff,rudder-hardover,right,10,380000,tailwind,CRASH,50.5,422,0,71,0,114,180.0
takeoff,engines:3+4,left,14,380000,tailwind,survived,120.0,601,20,73,3,7,11.8
takeoff,engines:1,left,18,380000,tailwind,survived,120.0,600,20,73,3,4,11.8
takeoff,windshear,-,18,380000,tailwind,CRASH,38.8,253,0,65,-6,180,179.9
takeoff,engines:2+3+4,left,6,380000,headwind,CRASH,98.7,185,0,70,0,5,14.5
takeoff,engines:4,left,10,380000,headwind,survived,120.0,600,20,90,20,4,8.3
takeoff,wing-loss,right,10,380000,headwind,CRASH,16.9,133,0,90,20,180,81.9
takeoff,elevator-jam,-,14,380000,headwind,survived,120.0,504,20,90,20,0,8.3
