phase,failure,side,fail_time,weight,wind,outcome,t_end,peak_alt,min_alt,min_speed,min_margin,max_bank,max_aoa
takeoff,engines:1,left,6,300000,calm,survived,120.0,600,20,85,23,4,7.6
takeoff,windshear,-,6,300000,calm,survived,120.0,600,20,66,3,0,14.7
takeoff,engines:1+2+3+4,left,10,300000,calm,CRASH,40.5,277,-1,56,-7,180,180.0
takeoff,engines:1+2,left,14,300000,calm,survived,120.0,600,20,85,23,8,7.6
takeoff,explosion,left,14,300000,calm,CRASH,21.5,179,0,72,9,64,179.8
takeoff,aileron-hardover,left,18,300000,calm,CRASH,32.6,298,-1,85,23,108,14.5
takeoff,engines:1+4,left,6,300000,tailwind,survived,120.0,601,20,73,10,0,9.5
takeoff,engines:2,left,10,300000,tailwind,survived,120.0,600,20,73,11,2,9.5
takeoff,runaway-trim,-,10,300000,tailwind,CRASH,42.4,289,0,73,11,0,9.5
takeoff,rudder-hardover,left,14,300000,tailwind,survived,120.0,600,20,73,11,48,9.6
takeoff,engines:2+3,left,18,300000,tailwind,survived,120.0,600,20,73,11,0,9.5
takeoff,explosion,right,18,300000,tailwind,CRASH,26.4,221,0,69,6,91,180.0
takeoff,aileron-hardover,left,6,300000,headwind,CRASH,19.0,150,0,91,28,108,14.4
takeoff,engines:1+2+3,left,10,300000,headwind,survived,120.0,365,20,65,2,6,13.1
takeoff,engines:3,left,14,300000,headwind,survived,120.0,600,20,91,28,2,6.3
takeoff,wing-loss,left,14,300000,headwind,CRASH,21.9,195,0,82,20,180,115.8
takeoff,rudder-hardover,right,18,300000,headwind,survived,120.0,600,20,91,28,45,8.9
takeoff,engines:2+3,left,6,300000,crosswind,survived,120.0,600,20,81,18,4,7.5
takeoff,explosion,right,6,300000,crosswind,CRASH,11.7,77,0,69,6,86,179.8
takeoff,aileron-hardover,right,10,300000,crosswind,CRASH,23.0,191,0,86,24,108,14.4
takeoff,engines:2+3+4,left,14,300000,crosswind,survived,120.0,440,20,65,2,6,13.1
takeoff,engines:4,left,18,300000,crosswind,survived,120.0,600,20,86,24,4,7.5
takeoff,wing-loss,right,18,300000,crosswind,CRASH,26.7,241,-1,78,15,180,121.2
takeoff,rudder-hardover,right,6,380000,calm,CRASH,45.5,407,0,71,0,114,179.8
takeoff,engines:3+4,left,10,380000,calm,survived,120.0,601,20,79,8,7,9.6
takeoff,engines:1,left,14,380000,calm,survived,120.0,600,20,85,15,4,9.6
takeoff,windshear,-,14,380000,calm,CRASH,35.2,249,0,65,-5,180,179.9
takeoff,engines:1+2+3+4,left,18,380000,calm,CRASH,46.2,322,-1,63,-8,180,179.9
takeoff,engines:4,left,6,380000,tailwind,survived,120.0,600,20,73,3,5,11.8
takeoff,wing-loss,right,6,380000,tailwind,CRASH,10.4,30,0,73,3,166,19.5
takeoff,elevator-jam,-,10,380000,tailwind,survived,120.0,2019,20,73,3,0,11.8
takeoff,engines:1+4,left,14,380000,tailwind,survived,120.0,601,20,73,3,0,11.8
takeoff,engines:2,left,18,380000,tailwind,survived,120.0,600,20,73,3,2,11.8
takeoff,runaway-trim,-,18,380000,tailwind,CRASH,46.6,329,0,73,3,0,11.8
takeoff,engines:1+2+3+4,left,6,380000,headwind,CRASH,28.3,144,0,62,-8,180,157.0
takeoff,engines:1+2,left,10,380000,headwind,survived,120.0,601,20,79,8,7,9.6
takeoff,explosion,left,10,380000,headwind,CRASH,16.4,123,0,76,6,62,180.0
takeoff,aileron-hardover,left,14,380000,headwind,CRASH,28.3,240,0,90,20,104,106.2
takeoff,engines:1+2+3,left,18,380000,headwind,survived,120.0,394,20,71,0,5,14.5
takeoff,engines:2,left,6,380000,crosswind,survived,120.0,600,20,86,16,4,9.5
takeoff,runaway-trim,-,6,380000,crosswind,CRASH,32.3,222,0,86,16,4,9.5
takeoff,rudder-hardover,left,10,380000,crosswind,CRASH,48.7,442,0,71,0,114,180.0
takeoff,engines:2+3,left,14,380000,crosswind,survived,120.0,601,20,79,7,4,10.2
takeoff,explosion,right,14,380000,crosswind,CRASH,21.6,168,0,75,5,88,179.8
takeoff,aileron-hardover,right,18,380000,crosswind,CRASH,32.8,278,0,86,16,103,139.9
takeoff,engines:1+2+3,left,6,440000,calm,CRASH,44.5,112,0,73,-2,9,72.1
takeoff,engines:3,left,10,440000,calm,survived,120.0,600,20,85,10,2,10.8
takeoff,wing-loss,left,10,440000,calm,CRASH,16.0,90,0,85,10,180,56.8
takeoff,rudder-hardover,right,14,440000,calm,CRASH,45.3,381,0,74,-3,126,179.9
takeoff,engines:3+4,left,18,440000,calm,survived,120.0,569,20,82,5,6,11.0
takeoff,nominal,-,-,440000,tailwind,survived,120.0,600,20,73,-2,0,13.3
takeoff,aileron-hardover,right,6,440000,tailwind,CRASH,15.7,27,0,73,-2,90,18.3
takeoff,engines:2+3+4,left,10,440000,tailwind,CRASH,44.4,71,0,73,-2,3,25.4
takeoff,engines:4,left,14,440000,tailwind,survived,120.0,600,20,73,-2,4,13.3
takeoff,wing-loss,right,14,440000,tailwind,CRASH,19.3,63,0,73,-2,180,38.2
takeoff,elevator-jam,-,18,440000,tailwind,survived,120.0,1530,20,73,-2,0,13.3
takeoff,engines:3+4,left,6,440000,headwind,survived,120.0,406,20,82,5,6,11.1
takeoff,engines:1,left,10,440000,headwind,survived,120.0,600,20,90,13,4,9.4
takeoff,windshear,-,10,440000,headwind,CRASH,27.3,171,0,64,-12,0,80.4
takeoff,engines:1+2+3+4,left,14,440000,headwind,CRASH,37.2,208,0,67,-9,180,179.9
takeoff,engines:1+2,left,18,440000,headwind,survived,120.0,569,20,82,5,6,11.0
takeoff,explosion,left,18,440000,headwind,CRASH,25.9,196,0,80,4,63,179.9
takeoff,elevator-jam,-,6,440000,crosswind,survived,120.0,1718,20,82,4,5,10.7
takeoff,engines:1+4,left,10,440000,crosswind,survived,120.0,456,20,81,5,5,11.5
takeoff,engines:2,left,14,440000,crosswind,survived,120.0,600,20,86,10,5,10.7
takeoff,runaway-trim,-,14,440000,crosswind,CRASH,39.1,273,0,86,10,5,10.7
takeoff,rudder-hardover,left,18,440000,crosswind,CRASH,49.0,423,-1,74,-3,126,180.0
climb,engines:1+2,left,20,300000,calm,survived,200.0,5990,3000,157,57,6,6.0
climb,explosion,left,20,300000,calm,CRASH,64.0,3304,0,87,2,180,180.0
