phase,failure,side,fail_time,weight,wind,outcome,t_end,peak_alt,min_alt,min_speed,min_margin,max_bank,max_aoa
climb,aileron-hardover,left,60,300000,calm,CRASH,107.7,3961,0,105,19,180,180.0
climb,engines:1+2+3,left,100,300000,calm,survived,200.0,5639,3000,114,14,5,10.7
climb,engines:2,left,20,380000,calm,survived,200.0,5988,3000,157,44,1,7.9
climb,runaway-trim,-,20,380000,calm,CRASH,58.8,3461,-1,157,58,0,7.9
climb,rudder-hardover,left,60,380000,calm,CRASH,117.5,4101,-1,104,2,180,180.0
climb,engines:2+3,left,100,380000,calm,survived,200.0,5988,3000,157,44,0,7.9
climb,explosion,right,100,380000,calm,CRASH,149.7,4505,-1,102,3,180,180.0
climb,aileron-hardover,left,20,440000,calm,CRASH,60.4,3352,-1,118,15,180,180.0
climb,engines:1+2+3,left,60,440000,calm,survived,200.0,4463,3000,120,6,4,13.1
climb,engines:3,left,100,440000,calm,survived,200.0,5985,3000,156,36,1,8.7
climb,wing-loss,left,100,440000,calm,CRASH,144.9,4507,-1,107,-5,180,179.9
cruise,rudder-hardover,left,30,300000,calm,CRASH,119.3,10013,-1,116,20,180,180.0
cruise,engines:2+3,left,120,300000,calm,survived,320.0,10004,9996,248,119,0,8.7
cruise,explosion,right,120,300000,calm,CRASH,219.8,10004,0,83,-4,180,180.0
cruise,aileron-hardover,right,250,300000,calm,survived,320.0,10004,1969,123,2,180,180.0
cruise,engines:1+2+3,left,30,380000,calm,survived,320.0,10004,9995,248,102,3,10.6
cruise,engines:3,left,120,380000,calm,survived,320.0,10004,9995,248,102,1,10.6
cruise,wing-loss,left,120,380000,calm,CRASH,197.3,10004,0,128,-3,180,180.0
cruise,rudder-hardover,right,250,380000,calm,survived,320.0,10012,1494,151,29,180,180.0
cruise,engines:2+3,left,30,440000,calm,survived,320.0,10004,9993,248,91,0,11.4
cruise,explosion,right,30,440000,calm,CRASH,113.4,10004,0,102,-1,180,179.9
cruise,aileron-hardover,right,120,440000,calm,CRASH,196.9,10004,-1,129,5,180,180.0
cruise,engines:2+3+4,left,250,440000,calm,survived,320.0,10004,9993,248,91,2,11.4
approach,engines:3,left,15,300000,calm,survived,220.0,911,0,83,26,1,12.3
approach,wing-loss,left,15,300000,calm,CRASH,30.4,911,-1,78,22,180,179.8
approach,rudder-hardover,right,30,300000,calm,CRASH,205.4,911,0,83,26,32,12.3
approach,engines:3+4,left,50,300000,calm,survived,220.0,911,0,83,26,5,12.3
approach,nominal,-,-,300000,tailwind,survived,220.0,908,0,73,16,0,10.4
approach,aileron-hardover,right,15,300000,tailwind,CRASH,38.0,908,0,73,16,91,14.5
approach,engines:2+3+4,left,30,300000,tailwind,CRASH,202.7,908,0,73,16,5,10.4
approach,engines:4,left,50,300000,tailwind,survived,220.0,908,0,73,16,2,10.4
approach,wing-loss,right,50,300000,tailwind,CRASH,63.4,908,0,73,16,180,179.8
approach,rudder-hardover,right,15,300000,headwind,survived,220.0,916,0,83,27,32,14.0
approach,engines:3+4,left,30,300000,headwind,survived,220.0,916,0,84,27,5,14.0
approach,engines:1,left,50,300000,headwind,survived,220.0,916,0,84,27,2,14.0
approach,windshear,-,50,300000,headwind,CRASH,79.0,916,-1,55,0,180,180.0
approach,engines:2+3+4,left,15,300000,crosswind,CRASH,203.8,912,0,80,26,5,12.5
approach,engines:4,left,30,300000,crosswind,survived,220.0,912,0,83,26,4,12.5
approach,wing-loss,right,30,300000,crosswind,CRASH,44.6,912,0,77,22,180,179.9
approach,elevator-jam,-,50,300000,crosswind,survived,220.0,912,447,83,26,4,12.5
approach,engines:3+4,left,15,380000,calm,survived,220.0,908,0,83,19,5,10.9
approach,engines:1,left,30,380000,calm,survived,220.0,908,0,83,19,2,10.9
approach,windshear,-,30,380000,calm,CRASH,56.4,908,-1,56,-7,180,180.0
approach,engines:1+2+3+4,left,50,380000,calm,CRASH,98.4,908,0,60,-2,180,179.9
approach,engines:4,left,15,380000,tailwind,survived,220.0,905,0,73,9,2,8.5
approach,wing-loss,right,15,380000,tailwind,CRASH,30.0,905,0,73,9,180,179.7
approach,elevator-jam,-,30,380000,tailwind,survived,220.0,971,567,73,9,0,8.5
approach,engines:1+4,left,50,380000,tailwind,survived,220.0,905,0,73,9,0,8.5
approach,engines:1,left,15,380000,headwind,survived,220.0,911,0,83,20,2,12.7
approach,windshear,-,15,380000,headwind,CRASH,42.3,911,-1,57,-7,180,180.0
approach,engines:1+2+3+4,left,30,380000,headwind,CRASH,78.1,911,0,61,-2,180,180.0
approach,engines:1+2,left,50,380000,headwind,survived,220.0,911,0,83,20,5,12.7
approach,explosion,left,50,380000,headwind,CRASH,63.4,911,0,76,13,174,180.0
approach,elevator-jam,-,15,380000,crosswind,survived,220.0,1005,595,83,20,4,11.1
approach,engines:1+4,left,30,380000,crosswind,survived,220.0,908,0,83,20,4,11.1
approach,engines:2,left,50,380000,crosswind,survived,220.0,908,0,83,20,4,11.1
approach,runaway-trim,-,50,380000,crosswind,CRASH,119.2,908,0,83,20,4,11.1
approach,engines:1+2+3+4,left,15,440000,calm,CRASH,55.0,906,-1,65,-3,180,180.0
approach,engines:1+2,left,30,440000,calm,survived,220.0,906,0,83,14,5,9.9
approach,explosion,left,30,440000,calm,CRASH,44.1,906,0,78,10,160,180.0
approach,aileron-hardover,left,50,440000,calm,CRASH,70.3,906,0,77,10,165,180.0
approach,engines:1+4,left,15,440000,tailwind,survived,220.0,904,0,73,4,0,12.1
approach,engines:2,left,30,440000,tailwind,survived,220.0,904,0,73,4,1,12.1
approach,runaway-trim,-,30,440000,tailwind,CRASH,94.5,904,0,73,4,0,12.1
approach,rudder-hardover,left,50,440000,tailwind,CRASH,205.6,904,0,73,4,40,12.1
approach,engines:1+2,left,15,440000,headwind,survived,220.0,909,0,83,15,5,12.0
approach,explosion,left,15,440000,headwind,CRASH,29.6,909,0,80,12,172,179.9
approach,aileron-hardover,left,30,440000,headwind,CRASH,51.6,909,0,78,10,168,180.0
approach,engines:1+2+3,left,50,440000,headwind,CRASH,193.4,909,0,73,8,4,12.0
approach,engines:2,left,15,440000,crosswind,survived,220.0,906,0,83,15,4,10.1
approach,runaway-trim,-,15,440000,crosswind,CRASH,86.6,906,0,83,15,4,10.1
approach,rudder-hardover,left,30,440000,crosswind,CRASH,206.4,906,0,83,15,40,11.5
approach,engines:2+3,left,50,440000,crosswind,survived,220.0,906,0,83,15,4,10.1
approach,explosion,right,50,440000,crosswind,CRASH,62.9,906,0,79,11,132,179.8
