phase,failure,side,fail_time,weight,wind,outcome,t_end,peak_alt,min_alt,min_speed,min_margin,max_bank,max_aoa
takeoff,engines:2,left,6,300000,calm,survived,120.0,600,20,85,23,2,7.6
takeoff,runaway-trim,-,6,300000,calm,CRASH,37.2,249,0,85,23,0,7.6
takeoff,rudder-hardover,left,10,300000,calm,survived,120.0,600,20,85,23,50,10.3
takeoff,engines:2+3,left,14,300000,calm,survived,120.0,600,20,85,23,0,7.6
takeoff,explosion,right,14,300000,calm,CRASH,21.7,181,0,68,6,91,180.0
takeoff,aileron-hardover,right,18,300000,calm,CRASH,32.6,298,-1,85,23,108,14.5
takeoff,engines:1+2+3,left,6,300000,tailwind,survived,120.0,208,20,64,2,6,13.1
takeoff,engines:3,left,10,300000,tailwind,survived,120.0,600,20,73,11,2,9.5
takeoff,wing-loss,left,10,300000,tailwind,CRASH,16.7,126,0,73,11,180,61.1
takeoff,rudder-hardover,right,14,300000,tailwind,survived,120.0,600,20,73,11,48,9.6
takeoff,engines:3+4,left,18,300000,tailwind,survived,120.0,600,20,73,11,8,9.5
takeoff,nominal,-,-,300000,headwind,survived,120.0,600,20,91,28,0,6.3
takeoff,aileron-hardover,right,6,300000,headwind,CRASH,19.0,150,0,91,28,108,14.4
takeoff,engines:2+3+4,left,10,300000,headwind,survived,120.0,365,20,65,2,6,13.1
takeoff,engines:4,left,14,300000,headwind,survived,120.0,600,20,91,28,4,6.3
takeoff,wing-loss,right,14,300000,headwind,CRASH,21.9,195,0,82,20,180,115.8
takeoff,elevator-jam,-,18,300000,headwind,survived,120.0,637,20,91,28,0,6.3
takeoff,engines:3+4,left,6,300000,crosswind,survived,120.0,600,20,81,17,9,7.5
takeoff,engines:1,left,10,300000,crosswind,survived,120.0,600,20,86,24,4,7.5
takeoff,windshear,-,10,300000,crosswind,survived,120.0,600,20,67,4,4,14.1
takeoff,engines:1+2+3+4,left,14,300000,crosswind,CRASH,44.9,324,0,56,-7,179,179.9
takeoff,engines:1+2,left,18,300000,crosswind,survived,120.0,600,20,86,24,8,7.5
takeoff,explosion,left,18,300000,crosswind,CRASH,26.5,231,0,71,9,63,180.0
takeoff,elevator-jam,-,6,380000,calm,survived,120.0,1400,20,85,15,0,9.6
takeoff,engines:1+4,left,10,380000,calm,survived,120.0,601,20,78,7,0,10.3
takeoff,engines:2,left,14,380000,calm,survived,120.0,600,20,85,15,2,9.6
takeoff,runaway-trim,-,14,380000,calm,CRASH,42.3,321,0,85,15,0,9.6
takeoff,rudder-hardover,left,18,380000,calm,CRASH,62.1,569,-1,75,4,121,180.0
takeoff,engines:1+2,left,6,380000,tailwind,survived,120.0,551,20,73,3,7,11.8
takeoff,explosion,left,6,380000,tailwind,CRASH,9.1,27,0,72,2,58,168.4
takeoff,aileron-hardover,left,10,380000,tailwind,CRASH,22.8,131,-1,73,3,103,38.2
takeoff,engines:1+2+3,left,14,380000,tailwind,survived,120.0,234,14,70,0,5,14.5
takeoff,engines:3,left,18,380000,tailwind,survived,120.0,600,20,73,3,2,11.8
takeoff,wing-loss,left,18,380000,tailwind,CRASH,25.8,181,0,73,3,180,120.9
takeoff,rudder-hardover,left,6,380000,headwind,CRASH,46.2,423,0,71,0,114,180.0
takeoff,engines:2+3,left,10,380000,headwind,survived,120.0,601,20,78,7,0,10.3
takeoff,explosion,right,10,380000,headwind,CRASH,16.7,124,0,74,4,88,179.8
takeoff,aileron-hardover,right,14,380000,headwind,CRASH,28.3,240,0,90,20,104,106.2
takeoff,engines:2+3+4,left,18,380000,headwind,survived,120.0,394,20,71,0,5,14.5
takeoff,engines:3,left,6,380000,crosswind,survived,120.0,600,20,86,16,4,9.5
takeoff,wing-loss,left,6,380000,crosswind,CRASH,11.7,71,0,86,16,180,40.1
takeoff,rudder-hardover,right,10,380000,crosswind,CRASH,50.9,466,0,71,0,114,179.7
takeoff,engines:3+4,left,14,380000,crosswind,survived,120.0,601,20,80,8,8,9.6
takeoff,engines:1,left,18,380000,crosswind,survived,120.0,600,20,86,16,4,9.5
takeoff,windshear,-,18,380000,crosswind,CRASH,40.1,302,0,65,-6,177,180.0
takeoff,engines:2+3+4,left,6,440000,calm,CRASH,44.5,112,0,73,-2,9,72.1
takeoff,engines:4,left,10,440000,calm,survived,120.0,600,20,85,10,4,10.8
takeoff,wing-loss,right,10,440000,calm,CRASH,16.0,90,0,85,10,180,56.8
takeoff,elevator-jam,-,14,440000,calm,survived,120.0,572,20,85,10,0,10.8
takeoff,engines:1+4,left,18,440000,calm,survived,120.0,566,20,82,5,0,11.5
takeoff,engines:1,left,6,440000,tailwind,survived,120.0,600,20,73,-2,4,13.3
takeoff,windshear,-,6,440000,tailwind,CRASH,19.1,70,0,60,-15,0,17.6
takeoff,engines:1+2+3+4,left,10,440000,tailwind,CRASH,26.7,53,0,71,-5,0,50.2
takeoff,engines:1+2,left,14,440000,tailwind,survived,120.0,392,20,73,-2,6,13.3
takeoff,explosion,left,14,440000,tailwind,CRASH,18.4,59,0,73,-2,61,179.9
takeoff,aileron-hardover,left,18,440000,tailwind,CRASH,31.1,159,0,73,-2,99,93.2
takeoff,engines:1+4,left,6,440000,headwind,survived,120.0,402,20,81,5,0,11.5
takeoff,engines:2,left,10,440000,headwind,survived,120.0,600,20,90,13,2,9.4
takeoff,runaway-trim,-,10,440000,headwind,CRASH,34.0,223,0,90,14,0,9.4
takeoff,rudder-hardover,left,14,440000,headwind,CRASH,45.4,389,0,74,-3,126,179.9
takeoff,engines:2+3,left,18,440000,headwind,survived,120.0,566,20,82,5,0,11.5
takeoff,explosion,right,18,440000,headwind,CRASH,26.1,197,0,79,3,89,179.8
takeoff,aileron-hardover,left,6,440000,crosswind,CRASH,18.1,95,0,86,10,99,46.9
takeoff,engines:1+2+3,left,10,440000,crosswind,CRASH,52.6,178,0,70,-6,150,159.2
takeoff,engines:3,left,14,440000,crosswind,survived,120.0,600,20,86,10,5,10.7
takeoff,wing-loss,left,14,440000,crosswind,CRASH,21.2,146,0,86,10,180,105.7
takeoff,rudder-hardover,right,18,440000,crosswind,CRASH,50.1,436,-1,74,-3,126,180.0
climb,engines:2+3,left,20,300000,calm,survived,200.0,5991,3000,157,57,0,6.0
climb,explosion,right,20,300000,calm,CRASH,56.4,3309,-1,85,-2,180,179.9
climb,aileron-hardover,right,60,300000,calm,CRASH,107.7,3961,0,105,19,180,180.0
climb,engines:2+3+4,left,100,300000,calm,survived,200.0,5639,3000,114,14,5,10.7
climb,engines:3,left,20,380000,calm,survived,200.0,5988,3000,157,44,1,7.9
climb,wing-loss,left,20,380000,calm,CRASH,58.6,3311,0,97,-1,180,180.0
