t,x,y,commanded_pitch,actual_pitch
0.0,0.001999999998245404,-0.0009809162241959288,29.999999999999996,0.0024000000000000002
0.01,0.005999999980742365,-0.00294258146278551,29.999999999999996,0.007190208
0.02,0.011999999900418341,-0.005884745419084387,29.999999999999996,0.01436067995136
0.03,0.019999999646074566,-0.009807075061907807,29.999999999999996,0.023901321160518452
0.04,0.02999999900127976,-0.014709154983174995,29.999999999999996,0.035801887699147425
0.05,0.04199999759335699,-0.020590487760695123,29.999999999999996,0.05005198782060596
0.060000000000000005,0.05599999483261806,-0.027450494326095497,29.999999999999996,0.066641083382553
0.07,0.07199998984200223,-0.03528851433785422,29.999999999999996,0.08555849127558166
0.08,0.08999998137727841,-0.04410380655940116,29.999999999999996,0.10679338485773615
0.09,0.10999996773797231,-0.05389554924225266,29.999999999999996,0.1303347953947734
0.09999999999999999,0.13199994666918205,-0.06466284051414671,29.999999999999996,0.15617161350603095
0.10999999999999999,0.1559999152544481,-0.07640469877214683,29.999999999999996,0.18429259061576295
0.11999999999999998,0.18199986979984523,-0.08912006308068425,29.999999999999996,0.21468634040980678
0.12999999999999998,0.20999980570946641,-0.10280779357450912,29.999999999999996,0.24734134029744165
0.13999999999999999,0.23999971735247025,-0.1174666718665226,29.999999999999996,0.2822459328783022
0.15,0.2719995979218655,-0.1330954014604632,29.999999999999996,0.319388327414209
0.16,0.3059994392852082,-0.14969260816842114,29.999999999999996,0.3587566013057791
0.17,0.3419992318273878,-0.16725684053315626,29.999999999999996,0.4003387015736784
0.18000000000000002,0.37999896428568225,-0.18578657025519496,29.999999999999996,0.4441224463443802
0.19000000000000003,0.4199986235772606,-0.20528019262468364,29.999999999999996,0.49009552634029174
0.20000000000000004,0.4619981946193159,-0.22573602695797582,29.999999999999996,0.5382455063741124
0.21000000000000005,0.5059976601420116,-0.24715231703893145,29.999999999999996,0.5885598268472877
0.22000000000000006,0.5519970004944252,-0.2695272315649074,29.999999999999996,0.6410258052524227
0.23000000000000007,0.5999961934436757,-0.29285886459741856,29.999999999999996,0.6956306376795168
0.24000000000000007,0.6499952139674211,-0.3171452360174498,29.999999999999996,0.7523614003258883
0.25000000000000006,0.7019940340399147,-0.34238429198539916,29.999999999999996,0.8112050510096481
