t,x,y,commanded_pitch,actual_pitch,airspeed,stall_speed
0.0,2.49997414543424,9999.999399123973,0.0,0.0,249.99742176453853,146.2118877475307
0.01,4.9999224878299975,9999.998199658123,0.10343790543181342,2.2172854608261322e-05,249.9948630145352,146.21187687710648
0.02,7.499845079294413,9999.99640388365,0.20732676277794623,8.817205230077944e-05,249.9923236445495,146.21186060250588
0.03,9.999741972443532,9999.994014080374,0.3116652523680999,0.00021913928890720264,249.98980354279087,146.21183894439287
0.04,12.49961322033443,9999.991032530248,0.4164514350218671,0.0004357118534185799,249.98730259100665,146.2118119234517
0.05,14.999458876400302,9999.987461520781,0.5216827640302658,0.0007580298314602703,249.98482066437612,146.2117795604178
0.060000000000000005,17.49927899438838,9999.983303348361,0.6273560969908698,0.001205743131824234,249.98235763140974,146.21174187610777
0.07,19.99907362830055,9999.978560321486,0.7334677075016544,0.001798018341327704,249.97991335385385,146.21169889144903
0.08,22.498842832336546,9999.973234763898,0.8400132967180854,0.0025535454131125697,249.97748768659892,146.2116506275077
0.09,24.99858666083957,9999.967329017636,0.9469880047769021,0.0034905441933216963,249.97508047759237,146.21159710551677
0.09999999999999999,27.49830516824423,9999.960845445983,1.054386422088961,0.004626770791139282,249.97269156775417,146.2115383469023
0.10999999999999999,29.99799840902662,9999.95378643634,1.1622026005090142,0.005979523796953374,249.9703207908958,146.2114743733099
0.11999999999999998,32.49766643765648,9999.946154403,1.2704300643812731,0.0075656503531442,249.96796797364178,146.21140520662965
0.12999999999999998,34.99730930855119,9999.937951789854,1.3790618214674184,0.009401552082205538,249.96563293535345,146.2113308690205
0.13999999999999999,37.4969270760316,9999.929181072988,1.488090373758482,0.011503190876702788,249.9633154880548,146.21125138293397
0.15,39.996519794279415,9999.919844763219,1.5975077281770298,0.01388609455511343,249.96101543636013,146.21116677113704
0.16,42.49608751729615,9999.909945408535,1.7073054071680132,0.016565362388129824,249.95873257740337,146.21107705673438
0.17,44.99563029886335,9999.899485596465,1.8174744591859104,0.019555670499368287,249.9564667007687,146.21098226318958
0.18000000000000002,47.49514819250413,9999.888467956356,1.9280054690786264,0.022871277144504647,249.9542175884226,146.21088241434603
0.19000000000000003,49.994641251445785,9999.87689516159,2.038888568371822,0.026526027872932817,249.95198501464697,146.2107775344467
0.20000000000000004,52.494109528583294,9999.864769931703,2.1501134454557937,0.030533360575584968,249.94976874597316,146.21066764815367
0.21000000000000005,54.99355307644375,9999.852095034448,2.261669355678837,0.03490631042290806,249.94756854111748,146.2105527805666
0.22000000000000006,57.49297194715146,9999.838873287772,2.373545131348079,0.039657514696406285,249.94538415091702,146.21043295724058
0.23000000000000007,59.992366192393604,9999.825107561717,2.4857291916415054,0.044799217517642445,249.9432153182671,146.2103082042035
0.24000000000000007,62.49173586338639,9999.810800780257,2.5982095524333886,0.05034327447787879,249.9410617780591,146.21017854797265
0.25000000000000006,64.99108101084153,9999.795955923055,2.7109738360352393,0.056301157171970435,249.93892325711954,146.21004401557053
0.26000000000000006,67.49040168493288,9999.780576027162,2.8240092808538453,0.06268395763971735,249.9367994741501,146.20990463454038
0.2700000000000001,69.9896979352633,9999.764664188628,2.937302750968799,0.0695023927181354,249.9346901396687,146.2097604329605
0.2800000000000001,72.48896981083134,9999.74822356406,3.0508407456346442,0.07676680830747075,249.9325949559516,146.2096114394588
0.2900000000000001,74.98821735999792,9999.731257372106,3.1646094087028636,0.08448718355436709,249.9305136169769,146.20945768322568
0.3000000000000001,77.48744063045272,9999.713768894875,3.2785945379733317,0.09267313495511204,249.92844580836905,146.2092991940274
0.3100000000000001,79.98663966918024,9999.695761479286,3.392781594470775,0.10133392038173586,249.92639120734506,146.20913600221792
0.3200000000000001,82.4858145224253,9999.677238538357,3.5071557116519547,0.11047844303411786,249.92434948266205,146.2089681387506
0.3300000000000001,84.98496523565825,9999.658203552432,3.621701704544557,0.12011525532059386,249.92232029456645,146.20879563518963
0.34000000000000014,87.48409185353924,9999.638660070335,3.736404078816364,0.13025256267014357,249.92030329474497,146.2086185237201
0.35000000000000014,89.98319441988193,9999.618611710479,3.8512470397811365,0.14089822727847343,249.91829812627768,146.20843683715808
0.36000000000000015,92.48227297761629,9999.598062161896,3.966214501338697,0.1520597717907934,249.9163044235929,146.2082506089601
0.37000000000000016,94.98132756875053,9999.577015185218,4.081290094851772,0.16374438292378204,249.91432181242448,146.20805987323195
0.38000000000000017,97.48035823433196,9999.55547461359,4.196457177963481,0.17595891502913058,249.91234990977145,146.20786466473686
0.3900000000000002,99.97936501440684,9999.533444353536,4.311698843351826,0.1887098936012623,249.9103883238603,146.2076650189034
0.4000000000000002,102.47834794797903,9999.510928385756,4.426997927426345,0.20200351873123687,249.90843665410983,146.20746097183277
0.4100000000000002,104.97730707296739,9999.487930765872,4.542337018966853,0.21584566850946027,249.90649449109904,146.2072525603051
0.4200000000000002,107.47624242616192,9999.46445562511,4.657698467705154,0.23024190237926173,249.9045614165382,146.20703982178637
0.4300000000000002,109.97515404317849,9999.44050717094,4.773064392851373,0.2451974644433984,249.902637003243,146.20682279443338
0.4400000000000002,112.4740419584122,9999.416089687651,4.88841669156333,0.2607172867258286,249.90072081511224,146.2066015170995
0.45000000000000023,114.9729062049892,9999.39120753687,5.00373704736561,0.27680599239071313,249.8988124071092,146.20637602933914
0.46000000000000024,117.47174681471702,9999.365865158037,5.119006938512014,0.29346789892042546,249.89691132524692,146.20614637141205
0.47000000000000025,119.97056381803326,9999.340067068819,5.234207646297895,0.31070702125493727,249.89501710657714,146.20591258428692
0.48000000000000026,122.4693572439527,9999.313817865477,5.349320263321089,0.3285270748940043,249.893129279184,146.20567470964502
0.49000000000000027,124.96812712001275,9999.287122223182,5.464325701689933,0.3469314789644171,249.89124736218142,146.20543278988262
0.5000000000000002,127.46687347221712,9999.259984896275,5.579204701183471,0.36592335925376646,249.88937086571573,146.20518686811363
0.5100000000000002,129.96559632497784,9999.232410718481,5.693937837361815,0.38550555121270913,249.88749929097253,146.2049369881713
0.5200000000000002,132.46429570105545,9999.204404603082,5.808505529626024,0.40568060292715796,249.88563213018878,146.20468319461017
0.5300000000000002,134.96297162149745,9999.175971543022,5.922888049230996,0.42645077806243226,249.88376886666967,146.20442553270624
0.5400000000000003,137.46162410557494,9999.147116610982,6.0370655272510945,0.4478180587804881,249.88190897481113,146.20416404845832
0.5500000000000003,139.96025317071735,9999.117844959404,6.15101796249586,0.46978414863221285,249.88005192012733,146.20389878858808
0.5600000000000003,142.4588588324455,9999.088161820462,6.264725229381027,0.4923504754259802,249.8781971592841,146.20362980053946
0.5700000000000003,144.9574411043026,9999.05807250599,6.3781670857516435,0.5155181940740686,249.876344140138,146.2033571324782
0.5800000000000003,147.45599999778375,9999.027582407374,6.491323180659632,0.5392881894183675,249.8744923017812,146.20308083329095
0.5900000000000003,149.95453552226314,9998.996696995386,6.604173062092975,0.5636610790367212,249.87264107459242,146.20280095258352
0.6000000000000003,152.45304768491985,9998.965421819978,6.716696184662512,0.5886372160312063,249.8707898802942,146.20251754067908
0.6100000000000003,154.95153649066157,9998.933762510043,6.828871917240649,0.6142166917996413,249.86893813201624,146.20223064861594
0.6200000000000003,157.45000194204658,9998.901724773119,6.940679550553691,0.6403993387917035,249.86708523436548,146.20194032814481
0.6300000000000003,159.94844403920405,9998.869314395057,7.052098304732295,0.6671847332506935,249.86523058350247,146.201646631726
0.6400000000000003,162.44686277975234,9998.836537239651,7.163107336812826,0.6945721979422733,249.86337356722473,146.20134961252563
0.6500000000000004,164.94525815871583,9998.803399248223,7.273685748195412,0.7225608048711946,249.86151356505664,146.20104932441217
0.6600000000000004,167.44363016843988,9998.769906439167,7.383812592056541,0.7511493779871363,249.85964994834652,146.20074582195215
0.6700000000000004,169.9419787985041,9998.736064907456,7.493466880716394,0.7803364958808734,249.85778208037033,146.20043916040575
0.6800000000000004,172.44030403563409,9998.701880824112,7.602627592960477,0.8101204944715407,249.85590931644296,146.20012939572175
0.6900000000000004,174.9386058636116,9998.667360435631,7.711273681315713,0.8404994696862623,249.8540310040364,146.19981658453256
0.7000000000000004,177.43688426318306,9998.632510063377,7.8193840792819085,0.8714712801328105,249.8521464829052,146.19950078414857
0.7100000000000004,179.93513921196663,9998.597336102932,7.926937708517274,0.9030335497665131,249.8502550852193,146.19918205255217
0.7200000000000004,182.4333706843579,9998.561845023418,8.033913485977946,0.935183670552149,249.84835613570436,146.19886044839186
0.7300000000000004,184.93157865143417,9998.526043366772,8.140290331011483,0.9679188051215941,249.8464489517893,146.19853603097513
0.7400000000000004,187.42976308085736,9998.489937746997,8.246047172405213,1.0012358894283377,249.84453284376164,146.19820886026227
0.7500000000000004,189.92792393677573,9998.453534849368,8.351162955386057,1.0351316353993274,249.8426071149299,146.19787899685866
0.7600000000000005,192.42606117972446,9998.416841429613,8.455616648576854,1.0696025335851336,249.8406710617943,146.19754650200755
0.7700000000000005,194.924174766525,9998.379864313049,8.559387250901555,1.1046448558090989,249.8387239742241,146.19721143758215
0.7800000000000005,197.42226465018354,9998.342610393694,8.662453798447562,1.140254657816153,249.83676513564353,146.19687386607762
0.7900000000000005,199.92033077978834,9998.305086633347,8.764795371277476,1.1764277819220377,249.83479382322426,146.19653385060252
0.8000000000000005,202.41837310040643,9998.267300060625,8.866391100193866,1.2131598596634978,249.83280930808647,146.1961914548703
0.8100000000000005,204.9163915529793,9998.229257769979,8.96722017345531,1.2504463144501505,249.83081085550674,146.1958467431903
0.8200000000000005,207.41438607421796,9998.190966920678,9.067261843444477,1.2882823642184935,249.82879772513394,146.1954997804582
0.8300000000000005,209.9123565964975,9998.152434735752,9.166495433286043,1.326663024088788,249.82676917121236,146.19515063214703
0.8400000000000005,212.41030304775097,9998.113668500922,9.264900343416478,1.3655831090251973,249.82472444281245,146.1947993642968
0.8500000000000005,214.908225351363,9998.074675563486,9.362456058100742,1.4050372364997694,249.82266278406908,146.1944460435049
